camis,dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,critical_flag,score,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,violation_code,violation_description,grade,grade_date
50144998,LAGO KACHE,Brooklyn,2192,FLATBUSH AVENUE,11234,3477058181,Creole,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,19,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.616543401516,-73.930201742621,318,46,065200,3220776,3078890074,BK45,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",,
50006410,KALINA RESTAURANT,Brooklyn,1476,BROADWAY,11221,7189191111,Spanish,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,42,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.687411349774,-73.918422923462,303,41,037500,3039827,3014860035,BK35,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",,
50157215,CUCINA ITALIAN TAVERN,Manhattan,331,LENOX AVENUE,10027,2128372128,Italian,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,25,2025-06-29T06:00:14.000,Pre-permit (Operational) / Re-inspection,40.808811380956,-73.944734230384,110,09,022400,1057866,1019110033,MN03,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Z,2025-06-16T00:00:00.000
50123740,CAFE NUBE,Brooklyn,940,4 AVENUE,11232,6462263844,Coffee/Tea,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,11,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.654678649133,-74.004040083445,307,38,008400,3010263,3006920040,BK32,10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms. Shatterproof bulb or shield to prevent broken glass from falling into food or onto surfaces, not installed.",A,2025-06-16T00:00:00.000
50163779,LA VIENESA SPANISH,Queens,3944,QUEENS BLVD,11104,7187862924,Latin American,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,,2025-06-29T06:00:14.000,Administrative Miscellaneous / Compliance Inspection,40.743864684145,-73.924871105165,402,26,018101,4002596,4001940023,QN31,20-06,Current letter grade or Grade Pending card not posted,,
50017072,BAGEL TIME,Queens,150-51A,14 AVENUE,11357,7187460686,Sandwiches,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,13,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.78910998832,-73.812645374185,407,19,098100,4537234,4045180137,QN49,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,2025-06-16T00:00:00.000
50036594,NYCS FRIED CHICKEN,Brooklyn,844,JAMAICA AVENUE,11208,7182350555,Spanish,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,6,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.68947593582,-73.873602778944,305,37,118201,3327204,3041060031,BK83,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,2025-06-16T00:00:00.000
50125236,THINK COFFEE,Manhattan,246,5 AVENUE,10001,9176922571,American,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,33,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.744585756978,-73.987372522452,105,02,005800,1015691,1008290042,MN13,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,,
50072911,JUANITO RESTAURANT,Bronx,494,EAST  138 STREET,10454,3479189980,Spanish,2025-06-16T00:00:00.000,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,Not Critical,92,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.80776461455,-73.919748673439,201,08,002500,2000031,2022650003,BX39,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,,
50057571,FOREVER INK BAR,Brooklyn,1051,FLATBUSH AVENUE,11226,7182844029,American,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,12,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.645259178385,-73.958022957884,314,40,079200,3117869,3051320057,BK95,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",A,2025-06-16T00:00:00.000
50122687,DE TANDOORI KNIGHT,Brooklyn,353,BROADWAY,11211,3477630203,Indian,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,7,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.707671791982,-73.955761668345,301,34,052700,3063593,3024620021,BK73,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,2025-06-16T00:00:00.000
50144691,EMPANADA PREMIUM,Brooklyn,2924,FULTON STREET,11207,9294544933,Spanish,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,21,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.679229790441,-73.886839431139,305,37,117000,3087922,3039520021,BK82,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,,
50073091,EM VIETNAMESE,Brooklyn,1702,86 STREET,11214,7182323888,Southeast Asian,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,37,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.608489418548,-74.004707155777,311,38,017800,3166499,3063660039,BK27,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",,
50143570,MIZNON,Manhattan,1410,BROADWAY,10018,9178177600,Jewish/Kosher,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,12,2025-06-29T06:00:14.000,Pre-permit (Operational) / Compliance Inspection,40.753489733029,-73.987110953723,105,04,011300,1015274,1008140052,MN17,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",,
50076584,KLOM KLORM,Brooklyn,181,WYCKOFF AVENUE,11237,7573721287,Thai,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,20,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.70301996673,-73.917152250931,304,37,044300,3074563,3032710001,BK77,02B,Hot TCS food item not held at or above 140 °F.,N,
50073091,EM VIETNAMESE,Brooklyn,1702,86 STREET,11214,7182323888,Southeast Asian,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,,2025-06-29T06:00:14.000,Administrative Miscellaneous / Initial Inspection,40.608489418548,-74.004707155777,311,38,017800,3166499,3063660039,BK27,19-06,"Providing single-use, non-compostable plastic straws to customers without customer request (including providing such straws at a self-serve station)",,
50115756,NAYA (Inside Moynihan Train Hall),Manhattan,351,WEST   31 STREET,10001,3477352021,Mediterranean,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,20,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.750899342782,-73.996278888842,104,03,010300,1084820,1007550040,MN13,04L,Evidence of mice or live mice in establishment's food or non-food areas.,,
50070157,A-POU'S TASTE,Brooklyn,963,GRAND STREET,11211,7183888111,Asian/Asian Fusion,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,45,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.71307791197,-73.936026846517,301,34,048100,3070478,3029240044,BK90,09E,Wash hands sign not posted near or above hand washing sink.,,
50108991,CAFE LUCE,Manhattan,235,EAST   53 STREET,10022,6465902777,Italian,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,50,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.757334289283,-73.968510065311,106,04,009800,1038554,1013270015,MN19,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",,
50152957,JAMAICA HALAL WINGS/APNAR CHA GHAR,Queens,16719,HILLSIDE AVE,11432,3472334709,Bangladeshi,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,13,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.709825320658,-73.795375121108,408,24,045400,4210471,4098390001,QN35,02B,Hot TCS food item not held at or above 140 °F.,A,2025-06-16T00:00:00.000
50159004,THE COFFEE LAB,Queens,3420,31ST AVE,11106,9176872610,Coffee/Tea,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,13,2025-06-29T06:00:14.000,Pre-permit (Operational) / Re-inspection,40.763075311053,-73.920853205117,401,22,006100,4008969,4006240045,QN70,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,2025-06-16T00:00:00.000
50169331,HALAL WRAPS & MEDITERRAS,Brooklyn,1231,NOSTRAND AVENUE,11225,7184849898,Chicken,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,55,2025-06-29T06:00:14.000,Pre-permit (Operational) / Initial Inspection,40.65720135052,-73.950248499599,309,40,080400,3107389,3048190001,BK60,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",N,
50144998,LAGO KACHE,Brooklyn,2192,FLATBUSH AVENUE,11234,3477058181,Creole,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,19,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.616543401516,-73.930201742621,318,46,065200,3220776,3078890074,BK45,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",,
50144256,CILANTRO NYC,Manhattan,485,COLUMBUS AVENUE,10024,3474171916,Mexican,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,9,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.784769364459,-73.973411704072,107,06,016900,1031215,1011970003,MN12,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,2025-06-16T00:00:00.000
41253845,FEILE,Manhattan,133,WEST   33 STREET,10001,2126951122,American,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,13,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.749581420927,-73.989320514772,105,03,010100,1015198,1008097501,MN17,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",A,2025-06-16T00:00:00.000
50166150,AZURE SEAFOOD RESTAURANT,Queens,3635,MAIN ST,11354,7186610900,Chinese,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,27,2025-06-29T06:00:14.000,Pre-permit (Operational) / Re-inspection,40.762323011719,-73.831571672929,407,20,086900,4112336,4049770010,QN22,04M,Live roaches in facility's food or non-food area.,Z,2025-06-16T00:00:00.000
50115660,U BEST BAKERY,Queens,13688,ROOSEVELT AVE,11354,9172778858,Bakery Products/Desserts,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,46,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.760184431586,-73.827599171276,407,20,085300,4583979,4050190059,QN22,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",,
40840921,CONNOLLY'S CORNER,Queens,7115,GRAND AVENUE,11378,7185657383,Continental,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,13,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.727858515577,-73.892099948004,405,30,049302,4058675,4025050079,QN30,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",A,2025-06-16T00:00:00.000
50108991,CAFE LUCE,Manhattan,235,EAST   53 STREET,10022,6465902777,Italian,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,50,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.757334289283,-73.968510065311,106,04,009800,1038554,1013270015,MN19,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",,
50131448,VILLAGE SQUARE PIZZA,Manhattan,1200,LEXINGTON AVENUE,10028,9172447890,Pizza,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,22,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.776615474935,-73.957694312553,108,04,014000,1047560,1015100017,MN40,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",N,
50127304,GEORGE'S,Manhattan,1144,1 AVENUE,10065,6464499718,Greek,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,41,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.761907244164,-73.960266666126,108,05,010602,1045317,1014570045,MN31,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",N,
50072911,JUANITO RESTAURANT,Bronx,494,EAST  138 STREET,10454,3479189980,Spanish,2025-06-16T00:00:00.000,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,Critical,92,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.80776461455,-73.919748673439,201,08,002500,2000031,2022650003,BX39,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,,
40597923,BASSETT CATERERS,Brooklyn,1404,AVENUE X,11235,7183329000,American,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,13,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.592105625364,-73.955906936162,315,48,059000,3202966,3074160001,BK17,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,2025-06-16T00:00:00.000
50108991,CAFE LUCE,Manhattan,235,EAST   53 STREET,10022,6465902777,Italian,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,50,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.757334289283,-73.968510065311,106,04,009800,1038554,1013270015,MN19,02B,Hot TCS food item not held at or above 140 °F.,,
50171222,XIAN NOODLE HOUSE,Queens,133-35,ROOSEVELT AVENUE,11354,9296705440,Chinese,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,10,2025-06-29T06:00:14.000,Pre-permit (Non-operational) / Initial Inspection,40.758501995257,-73.833241808988,407,20,087100,4112276,4049730016,QN22,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",N,
50051353,SUPER SKYWAY RESTAURANT & KEBAB HOUSE,Brooklyn,2032,BATH AVENUE,11214,7183733332,Pakistani,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,,2025-06-29T06:00:14.000,Administrative Miscellaneous / Initial Inspection,40.600784898633,-74.000615784542,311,47,028600,3168849,3064430031,BK27,19-06,"Providing single-use, non-compostable plastic straws to customers without customer request (including providing such straws at a self-serve station)",,
50144372,XIE BAO,Queens,133-35,ROOSEVELT AVENUE,11354,9175631011,Chinese,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,12,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.758501995257,-73.833241808988,407,20,087100,4112276,4049730016,QN22,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",A,2025-06-16T00:00:00.000
50108991,CAFE LUCE,Manhattan,235,EAST   53 STREET,10022,6465902777,Italian,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,50,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.757334289283,-73.968510065311,106,04,009800,1038554,1013270015,MN19,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",,
